id;isbn;title;year;author
B-001;978-9661491747;І не лишилось жодного;1939;Аґата Крісті
B-002;978-9660370890;Собака Баскервілів;1902;Артур Конан Дойл
B-003;978-9661491754;Вбивство у Східному експресі;1934;Аґата Крісті
B-004;978-6171201087;Дівчина з татуюванням дракона;2005;Стіґ Ларссон
B-005;978-6171233897;Загублена;2012;Ґіліян Флінн
B-006;978-9661483445;Код да Вінчі;2003;Ден Браун
B-007;978-9661491761;Вбивства за абеткою;1936;Аґата Крісті
B-008;978-6171243124;Мовчання ягнят;1988;Томас Гарріс
B-009;978-6171249768;Етюд у багряних тонах;1887;Артур Конан Дойл
B-010;978-6177858347;Таємнича пригода в Стайлзі;1920;Аґата Крісті
B-011;978-0000000001;Пошкоджений детектив без року
B-012;978-0000000002;Загублений манускрипт;1200;Невідомий
B-013;;Вбивство без ISBN;2021;Автор
